,element,Tc,Tc_mean
10273,Pr1Fe0.85Co0.15As1O1,9.07,7.485
10274,Pr0.8Sr0.2Fe0.95Co0.05As1O1,7.05,7.05
10275,Pr0.8Sr0.2Fe0.925Co0.075As1O1,3.5,3.5
10276,Pr0.8Sr0.2Fe0.9Co0.1As1O1,6.86,6.86
10277,Pr0.8Sr0.2Fe0.8Co0.2As1O1,11.5,11.5
10278,Pr0.8Sr0.2Fe0.7Co0.3As1O1,4.48,4.48
10279,Fe1.03Te0.7Se0.3,13.0,12.7
10280,Sn1Mo6S8,14.2,12.4666666666667
10281,Pb1Mo6S8,14.9,13.6295454545455
10282,Hg0.44Re1O3,7.7,7.7
10283,Cu0.1Ti1Se2,3.9,3.2
10284,U0.99Gd0.01Pd2Al3,1.16,1.16
10285,U0.92Gd0.02Pd2Al3,0.64,0.64
10286,U0.98Th0.02Pd2Al3,1.97,1.97
10287,U0.9Th0.1Pd2Al3,1.28,1.28
10288,U0.99Y0.01Pd2Al3,1.13,1.11
10289,K0.5Mo1O3,4.2,4.2
10290,K0.3Re1O3,3.6,3.6
10291,Cs0.19W1O3,6.7,6.7
10292,Cs0.23W1O3,6.0,6.0
10293,Cs0.25W1O3,4.0,4.0
10294,Cs0.3W1O3,2.0,2.0
10295,Rb0.33W1O3,1.98,3.356
10296,Rb0.2W1O3,3.52,4.12666666666667
10297,Rb0.18W1O3,4.24,4.24
10298,Rb0.16W1O3,4.8,4.95
10299,Cu0.06Ti1Se2,2.5,2.39666666666667
10300,La1Fe0.9975Mn0.0025As1F0.11O0.89,10.1,10.1
10301,La1Fe0.9875Co0.0125As1F0.11O0.89,24.0,24.5
10302,La1Fe0.95Co0.05As1F0.11O0.89,16.1,16.1
10303,Nd1Fe0.97Mn0.03As1F0.11O0.89,11.9,11.9
10304,Nd1Fe0.98Mn0.02As1F0.11O0.89,27.1,27.1
10305,Nd1Fe0.99Mn0.01As1F0.11O0.89,38.0,38.0
10306,Nd1Fe0.98Co0.02As1F0.11O0.89,40.1,40.1
10307,Nd1Fe0.95Co0.05As1F0.11O0.89,30.1,30.1
10308,Nd1Fe0.9Co0.1As1F0.11O0.89,9.0,9.0
10309,U1Ni2Al3,1.126,1.01575
10310,U1.02Ni2Al3,0.51,0.51
10311,U0.98Ni2Al3,1.145,1.145
10312,U1Ni2.02Al3,1.14,1.14
10313,U1Ni1.98Al3,1.13,1.13
10314,U1Ni2Al3.02,1.135,1.135
10315,U1Ni2Al2.98,1.155,1.155
10316,U1Ni1.95Al3.05,0.16,0.16
10317,U1.01Pd2Al3,1.88,1.88
10318,U0.99Pd2Al3,1.94,1.94
10319,U1Pd2.02Al3,0.83,0.83
